film,prod_team,dir_team,director,camera_team,prod_manage_team,depth,download_timeout,download_slot,download_latency,year,country
Aaahh Belinda,Onno Tunç,,Atif Yilmaz,,,3,180.0,13.33.87.143,0.3218669891357422,  1986,"Turkey,Denmark"
Tres mujeres en la hoguera,,,Abel Salazar,,,3,180.0,13.33.87.143,0.09370708465576172,19 July 1979,Mexico
Hector,Willy Stassen,,Stijn Coninx,"Eddy Stevesyns,Tina Weemaes",,3,180.0,13.33.87.143,0.13798284530639648,19 October 1987,"Netherlands,France"
Ninja Vengeance,Matthew Morse,Edmondo Gintili,Karl Armstrong,,,3,180.0,13.33.87.143,0.14498686790466309,30 June 1993,USA
Roman picisan,,,Adisoerya Abdi,,,3,180.0,13.33.87.143,0.1475670337677002,  1980,Indonesia
Banzaï,"Claude Berri,Pierre Grunstein",Catherine Joubé,Claude Zidi,"Dominique Robert,Roger Robert",,3,180.0,13.33.87.143,0.19906997680664062,23 March 1983,"France,Portugal,Soviet Union,Hungary,West Germany"
Treasure Island,Jorge Arriagada,"Alexandre Barradas,Ana V. Da Silva,Eduardo Filipe,Luís Monteiro,Madalena Poppe,José Matos",Raoul Ruiz,"Júlia Buisel,Lurdes Rocha",,3,180.0,13.33.87.143,0.14215898513793945,15 June 1994,France
Masques,Matthieu Chabrol,"Dominique Beaucamps,Pierre Galliard",Claude Chabrol,"Yvette Bonnay,Céline,Lolita Lempicka",,3,180.0,13.33.87.143,0.16930603981018066,February 1987,"West Germany,France,Sweden,West Germany,Belgium,Denmark,Canada,Greece,Spain"
Love on the Quiet,,"Pierre Lefait,Marc Pinquier,Yves Seigneuret",Édouard Molinaro,"Paulette Andrieux,Robert Chevereau,Annie Maurel,Roger Pera",,3,180.0,13.33.87.143,0.1485280990600586,27 February 1985,"France,Australia,Germany"
Joan Lui - Ma un giorno nel paese arrivo io di lunedì,"Adriano Celentano,Ronny Jackson,Pinuccio Pirazzoli,Gino Santercole","Italo Cameracanna,Amedeo Casati,Tiziano Crotti,Edmondo Gintili,Daniele Quadroli",Adriano Celentano,Stefano Cioncolini,,3,180.0,13.33.87.143,0.19336795806884766,25 December 1985,"Italy,West Germany"
Do Aur Do Paanch,V. Ramamurthy,"D.O. Bhansali,Robin Chatterjee,T.D. Krishnamourthy,Ramanlal,Kishore S. Rane,Rangan",Rakesh Kumar,"P. Nandakumar Reddy,P. Sivakumar Reddy",,3,180.0,13.33.87.143,0.16224098205566406,8 February 1980,"India,Portugal"
X,,,Oddvar Einarson,,,3,180.0,13.33.87.143,0.13515615463256836,21 August 1986,"Norway,Sweden,Sweden,Denmark"
Don't Play with Tigers,Detto Mariano,"Giovanfrancesco Fantacci,Bruno Schiavi,Adriano Tiberi",Sergio Martino,"Stella Battista,Vera Cozzolino,Clary Mirolo",,3,180.0,13.33.87.143,0.15436911582946777,15 January 1982,"Italy,Portugal,Hong Kong"
Shortcuts,,Karel Jaros,Jirí Menzel,Zuzana Máchová,,3,180.0,13.33.87.143,0.14059114456176758,1 February 1981,"Czechoslovakia,Italy,Canada,West Germany,USA,West Germany,Mexico,East Germany,Sweden,Finland,Denmark,Sweden,Hungary,Argentina,USA,Argentina,Poland,Poland,China,Nigeria,Austria,Latvia,France,Hungary"
Choron Ki Baaraat,"Salim A. Calcuttawala,A.K. Nadiadwala",,Harmesh Malhotra,,,3,180.0,13.33.87.143,0.19199204444885254,23 May 1980,India
Hermelinda linda,,,Julio Aldama,José Luis Lemus,,3,180.0,13.33.87.143,0.1494290828704834,21 July 1984,Mexico
Zalzala,Vinod Shah,,Harish Shah,,,3,180.0,13.33.87.143,0.15529584884643555,,
Where Is Parsifal?,Terence Young,"Allan James,Callum McDougall",Henri Helman,John Rogers,,3,180.0,13.33.87.143,0.15964293479919434,May 1984,"France,UK,France,West Germany"
Fall Guy,"Haruki Kadokawa,Kazuo Kosaka,Kazushige Saitô,Masao Satô",Ichirô Higa,Kinji Fukasaku,"Kinji Kanai,Sakae Umiji",,3,180.0,13.33.87.143,0.21534419059753418,9 October 1982,"Japan,Hong Kong,USA,Japan,Bangladesh,Japan,Japan,Singapore,Germany,Japan"
Cindy - Cinderella '80,"Mario Cotone,Roberto Malenotti","Raffaele Errigo,Marie Therese Pecharman",Roberto Malenotti,"Gianni Caramanico,Tarcisio Diamanti,Marco Sacerdoti,Carlo Vinciguerra",,3,180.0,13.33.87.143,0.5865528583526611,16 February 1984,"Italy,East Germany,West Germany"
Aha Naa Pellanta,Ramesh Naidu,,Jandhyala,,,3,180.0,13.33.87.143,0.16016101837158203,,
Chithram,,,Priyadarshan,,,3,180.0,13.33.87.143,0.14628124237060547,23 December 1988,India
